epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,12617.5,0.83062,0.59757,1.19581,0.87443,0.86229,0.91504,0.67875,0.87222,0.50954,1.31718,1.387e-05,1.387e-05,1.387e-05
89,12760,0.83112,0.59591,1.19648,0.87725,0.86128,0.91558,0.67906,0.87178,0.50935,1.31642,1.288e-05,1.288e-05,1.288e-05
90,12903.3,0.83105,0.5996,1.19306,0.87679,0.86118,0.91557,0.67887,0.87193,0.50898,1.31666,1.189e-05,1.189e-05,1.189e-05
91,13046.6,0.76722,0.4473,1.20202,0.87453,0.86118,0.91627,0.68112,0.87111,0.50893,1.31581,1.09e-05,1.09e-05,1.09e-05
92,13189.9,0.75336,0.43985,1.19225,0.87745,0.85844,0.9163,0.68081,0.87054,0.50882,1.31528,9.91e-06,9.91e-06,9.91e-06
93,13332.2,0.75047,0.44074,1.18869,0.8946,0.84259,0.91646,0.68111,0.87047,0.50905,1.31551,8.92e-06,8.92e-06,8.92e-06
94,13474.8,0.74569,0.43571,1.18205,0.89521,0.84392,0.9165,0.6822,0.87021,0.50928,1.31542,7.93e-06,7.93e-06,7.93e-06
95,13617.7,0.75029,0.43872,1.18841,0.89773,0.84333,0.91721,0.68272,0.86991,0.50983,1.31475,6.94e-06,6.94e-06,6.94e-06
96,13760.7,0.73691,0.43019,1.17988,0.89677,0.84358,0.91718,0.68283,0.86988,0.50969,1.31375,5.95e-06,5.95e-06,5.95e-06
97,13903.4,0.74315,0.43656,1.18372,0.89748,0.84438,0.91717,0.68319,0.86977,0.50991,1.31351,4.96e-06,4.96e-06,4.96e-06
98,14045.2,0.73845,0.43223,1.17808,0.89729,0.84526,0.91712,0.68308,0.86961,0.50981,1.31344,3.97e-06,3.97e-06,3.97e-06
99,14187,0.73953,0.42858,1.18332,0.89424,0.84892,0.91703,0.68192,0.86966,0.50957,1.31347,2.98e-06,2.98e-06,2.98e-06
100,14329.2,0.73312,0.42777,1.17815,0.89377,0.84897,0.91699,0.68235,0.86964,0.50966,1.3138,1.99e-06,1.99e-06,1.99e-06
