epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,34761.6,0.46402,2.63663,1.13262,0.93622,0.90534,0.94948,0.65468,0.55508,3.48935,1.25101,2.38398e-05,2.38398e-05,2.38398e-05
107,35092.7,0.46437,2.64129,1.14424,0.93623,0.90515,0.94948,0.65486,0.55485,3.49112,1.25015,2.14388e-05,2.14388e-05,2.14388e-05
108,35425.3,0.46141,2.60496,1.13771,0.93759,0.90515,0.94939,0.65518,0.55492,3.49368,1.2503,1.91962e-05,1.91962e-05,1.91962e-05
109,35757.2,0.46315,2.6126,1.13901,0.93758,0.90517,0.94932,0.65495,0.55493,3.49268,1.25018,1.71135e-05,1.71135e-05,1.71135e-05
110,36083.8,0.4613,2.59465,1.1346,0.93768,0.90515,0.94936,0.65525,0.55494,3.49174,1.25016,1.51921e-05,1.51921e-05,1.51921e-05
111,36413.7,0.45825,2.58221,1.13575,0.93759,0.90506,0.94933,0.65541,0.55506,3.49527,1.25032,1.34334e-05,1.34334e-05,1.34334e-05
112,36743.3,0.46039,2.58392,1.13514,0.93765,0.90482,0.94933,0.65546,0.55503,3.49412,1.25026,1.18384e-05,1.18384e-05,1.18384e-05
113,37072.4,0.45938,2.5875,1.12806,0.93579,0.90494,0.9494,0.65549,0.55513,3.49576,1.25035,1.04085e-05,1.04085e-05,1.04085e-05
114,37400.4,0.45912,2.58731,1.13029,0.93774,0.90446,0.94938,0.65547,0.55518,3.49232,1.25037,9.14441e-06,9.14441e-06,9.14441e-06
115,37728.4,0.46208,2.59899,1.1298,0.93752,0.9045,0.9494,0.65569,0.55523,3.49223,1.25038,8.04714e-06,8.04714e-06,8.04714e-06
116,38055.9,0.45825,2.58479,1.12892,0.93813,0.90432,0.94931,0.65551,0.55515,3.49039,1.25025,7.1174e-06,7.1174e-06,7.1174e-06
117,38381.4,0.45644,2.58505,1.13334,0.93704,0.90359,0.94863,0.65594,0.55511,3.48868,1.2502,6.35583e-06,6.35583e-06,6.35583e-06
